# Experimental data from Bicerano_1996; calculated data from Azfal_2021 using Molecular Dynamics; https://dx.doi.org/10.1021/acsapm.0c00524,,,
SMILES,Experiment Tg (K),Calculated Tg (K),Calculated Tg St.Dev. (K)
[*]OC1=CC=C(C=C1)C1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)N1C(=O)C2=CC=C(C=C2C1(=O))[*],520,692.7,20.3
[*]C1=C(Br)C=C(C=C1(Br))C(C)(C)C1=CC(Br)=C(C(Br)=C1)OC(=O)O[*],523,674.8,14.3
[*]N1C(=O)C2=CC=C(C=C2C1(=O))C(C(F)(F)F)(C(F)(F)F)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)C(=O)C1=CC=CC(=C1)[*],533,736.2,36.3
[*]C1=CC(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C=C(N=C4C=C3)C3=CC=C(OC4=CC=C([*])C=C4)C=C3)C3=CC=CC=C3)C=CC2=N1,539,652.8,13.2
[*]C1=NC2=C(C=CC=C2)C(=C1)C1=CC=C(OC2=CC=C(C=C2)C2=CC(=NC3=C2C=CC=C3)C2=CC=CC([*])=C2)C=C1,541,706.8,12.4
[*]C1=CC=C(C=C1)C2=NN=C([N]2C3=CC=CC=C3)C4=CC(=CC=C4)C5=NN=C([N]5C6=CC=CC=C6)[*],543,644.8,15.6
[*]C(=O)C1=CC=CC(=C1)C(=O)NC1=CC=CC(=C1)N[*],545,680,8.2
[*]C1=NC2=C(C=CC=C2)C(C2=CC=C(OC3=CC=C(C=C3)C3=C(C4=CC=CC=C4)C(=NC4=C3C=CC=C4)C3=CC=CC([*])=C3)C=C2)=C1C1=CC=CC=C1,546,695.3,16.1
[*]NC(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)CC1=CC=C(C=C1)[*],550,756.9,46.3
[*]N1C(=O)C2=CC=C(C=C2C1(=O))C(C(F)(F)F)(C(F)(F)F)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)C(=O)C1=CC=C(C=C1)[*],561,752.3,44.5
[*]N1C(=O)C2=CC=C(C=C2C1(=O))C(C(F)(F)F)(C(F)(F)F)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C(C=CC=C1)C(=O)C1=CC=C(C=C1)[*],562,801,65.2
[*]C1=CC(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C=C(N=C4C=C3)C3=CC=C([*])C=C3)C3=CC=CC=C3)C=CC2=N1,573,680.9,38.1
[*]C1=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C5=CC=CC=C5)C(C5=CC=CC=C5)=C(N=C4C=C3)C3=CC=C(OC4=CC=C([*])C=C4)C=C3)C=CC2=N1,578,656.7,17.2
[*]C1=CN=C2C=CC(=CC2=N1)C1=CC=C2N=CC(=NC2=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)[*],578,770.6,65.7
[*]C1=CN=C2C=CC(=CC2=N1)OC1=CC=C2N=CC(=NC2=C1)C1=CC=C(C=C1)[*],579,685.5,15.9
[*]C1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C1=CC=C(C=C1)OC(=O)[*],580,721.3,17.8
[*]C1=CC(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C=C(N=C4C=C3)C3=CC=C(C=C3)C3=CC=C([*])C=C3)C3=CC=CC=C3)C=CC2=N1,581,680.8,24.3
[*]C1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)OC(=O)[*],583,767.8,35.6
[*]N1C(=O)C2=CC=C(C=C2C1(=O))C(C(F)(F)F)(C(F)(F)F)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)[*],584,799.5,20.5
[*]C1=CN=C2C=CC(=CC2=N1)C(=O)C1=CC=C2N=CC(=NC2=C1)C1=CC=C(C=C1)[*],591,770.8,21.4
[*]C1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)OC1=CC=C(C=C1)NC(=O)[*],593,711.2,9.8
[*]C1=NC2=C(C=CC=C2)C(=C1)C1=CC=C(OC2=CC=C(C=C2)C2=CC(=NC3=C2C=CC=C3)C2=CC=C(OC3=CC=C([*])C=C3)C=C2)C=C1,599,664,10.7
